MMO: 2026-08-26T13:27:08.932Z INFO   policy.load policy_name=opus-plus-sonnet-max source=name version=1 model_count=2 rule_count=13
MMO: 2026-08-26T13:27:08.935Z INFO   route.decide packet_id=smoke-sonnet phase=tests task_type=smoke module=precheck rule_index=8 rule_reason="Scaffold-heavy, pattern-based" model_id=sonnet
MMO: 2026-08-26T13:27:08.935Z INFO   dispatch.start packet_id=smoke-sonnet model_id=sonnet max_out=256 max_in=2000 work_dir=/home/sangeetha/projects/kaneo
MMO: 2026-08-26T13:27:14.287Z INFO   dispatch.end packet_id=smoke-sonnet model_id=sonnet ok=true terminal_reason=success tokens_in=15420 tokens_out=36 tokens_cached=24432 cost_usd=0.0680224 latency_ms=5352 attempts=1
MMO: 2026-08-26T13:27:21.297Z INFO   route.decide packet_id=smoke-opus2 phase=codegen task_type=smoke module=precheck rule_index=-1 rule_reason="Unrecognized task — fail safe to premium" model_id=opus
MMO: 2026-08-26T13:27:21.297Z INFO   dispatch.start packet_id=smoke-opus2 model_id=opus max_out=256 max_in=2000 work_dir=/home/sangeetha/projects/kaneo
MMO: 2026-08-26T13:27:25.395Z INFO   dispatch.end packet_id=smoke-opus2 model_id=opus ok=true terminal_reason=success tokens_in=12589 tokens_out=11 tokens_cached=16019 cost_usd=0.1352715 latency_ms=4098 attempts=1
MMO: 2026-08-26T13:33:56.211Z INFO   api.gemini.backend backend=vertex-adc reason="gcloud ADC file present" adc_file_present=true
MMO: 2026-08-26T13:33:56.212Z INFO   preflight.model model_id=opus adapter=claude-cli ok=true
MMO: 2026-08-26T13:33:56.212Z INFO   preflight.model model_id=sonnet adapter=claude-cli ok=true
MMO: 2026-08-26T13:33:56.212Z INFO   preflight.result ok=true warnings_n=0 backend=vertex-adc project=ai-studies-console location=global
MMO: 2026-08-26T13:35:09.246Z INFO   api.gemini.backend backend=vertex-adc reason="gcloud ADC file present" adc_file_present=true
MMO: 2026-08-26T13:35:09.246Z INFO   preflight.model model_id=opus adapter=claude-cli ok=true
MMO: 2026-08-26T13:35:09.246Z INFO   preflight.model model_id=sonnet adapter=claude-cli ok=true
MMO: 2026-08-26T13:35:09.246Z INFO   preflight.result ok=true warnings_n=0 backend=vertex-adc project=ai-studies-console location=global
